Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I16455	I16455_ERS8208614	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16455_ERS8208614_L1_R1.fastq.gz	NA	NA	ERR7195319.fastq.gz	NA
I16456	I16456_ERS8208616	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16456_ERS8208616_L1_R1.fastq.gz	NA	NA	ERR7195321.fastq.gz	NA
I16457	I16457_ERS8208617	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16457_ERS8208617_L1_R1.fastq.gz	NA	NA	ERR7195322.fastq.gz	NA
I16457	I16457_ERS8208618	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16457_ERS8208618_L1_R1.fastq.gz	NA	NA	ERR7195323.fastq.gz	NA
I16479	I16479_ERS8208636	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16479_ERS8208636_L1_R1.fastq.gz	NA	NA	ERR7195341.fastq.gz	NA
I16440	I16440_ERS8208597	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16440_ERS8208597_L1_R1.fastq.gz	NA	NA	ERR7195302.fastq.gz	NA
I16439	I16439_ERS8208596	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16439_ERS8208596_L1_R1.fastq.gz	NA	NA	ERR7195301.fastq.gz	NA
I16488	I16488_ERS8208638	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16488_ERS8208638_L1_R1.fastq.gz	NA	NA	ERR7195343.fastq.gz	NA
I16488	I16488_ERS8208637	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16488_ERS8208637_L1_R1.fastq.gz	NA	NA	ERR7195342.fastq.gz	NA
I16448	I16448_ERS8208606	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16448_ERS8208606_L1_R1.fastq.gz	NA	NA	ERR7195311.fastq.gz	NA
I16450	I16450_ERS8208607	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16450_ERS8208607_L1_R1.fastq.gz	NA	NA	ERR7195312.fastq.gz	NA
I11997	I11997_ERS8207969	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11997_ERS8207969_L1_R1.fastq.gz	NA	NA	ERR7194674.fastq.gz	NA
I11997	I11997_ERS8207970	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11997_ERS8207970_L1_R1.fastq.gz	NA	NA	ERR7194675.fastq.gz	NA
I12081	I12081_ERS8207971	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12081_ERS8207971_L1_R1.fastq.gz	NA	NA	ERR7194676.fastq.gz	NA
I12081	I12081_ERS8207972	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12081_ERS8207972_L1_R1.fastq.gz	NA	NA	ERR7194677.fastq.gz	NA
I16467	I16467_ERS8208625	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16467_ERS8208625_L1_R1.fastq.gz	NA	NA	ERR7195330.fastq.gz	NA
I16467	I16467_ERS8208626	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16467_ERS8208626_L1_R1.fastq.gz	NA	NA	ERR7195331.fastq.gz	NA
I16469_ss	I16469_ss_ERS8208627_ss	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I16469_ss_ERS8208627_ss_L1_R1.fastq.gz	NA	NA	ERR7195332.fastq.gz	NA
I12082	I12082_ERS8207973	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12082_ERS8207973_L1_R1.fastq.gz	NA	NA	ERR7194678.fastq.gz	NA
I17260	I17260_ERS8208727	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17260_ERS8208727_L1_R1.fastq.gz	NA	NA	ERR7195432.fastq.gz	NA
I17260	I17260_ERS8208728	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17260_ERS8208728_L1_R1.fastq.gz	NA	NA	ERR7195433.fastq.gz	NA
I16479	I16479_ERS8208635	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16479_ERS8208635_L1_R1.fastq.gz	NA	NA	ERR7195340.fastq.gz	NA
I16476	I16476_ERS8208634	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16476_ERS8208634_L1_R1.fastq.gz	NA	NA	ERR7195339.fastq.gz	NA
I13618	I13618_ERS8208110	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13618_ERS8208110_L1_R1.fastq.gz	NA	NA	ERR7194815.fastq.gz	NA
I12927	I12927_ERS8208075	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12927_ERS8208075_L1_R1.fastq.gz	NA	NA	ERR7194780.fastq.gz	NA
I16591	I16591_ERS8208660	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16591_ERS8208660_L1_R1.fastq.gz	NA	NA	ERR7195365.fastq.gz	NA
I16592	I16592_ERS8208661	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16592_ERS8208661_L1_R1.fastq.gz	NA	NA	ERR7195366.fastq.gz	NA
I16591	I16591_ERS8208659	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16591_ERS8208659_L1_R1.fastq.gz	NA	NA	ERR7195364.fastq.gz	NA
I16504	I16504_ERS8208650	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16504_ERS8208650_L1_R1.fastq.gz	NA	NA	ERR7195355.fastq.gz	NA
I16495	I16495_ERS8208641	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16495_ERS8208641_L1_R1.fastq.gz	NA	NA	ERR7195346.fastq.gz	NA
I16498	I16498_ERS8208643	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16498_ERS8208643_L1_R1.fastq.gz	NA	NA	ERR7195348.fastq.gz	NA
I16504	I16504_ERS8208649	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16504_ERS8208649_L1_R1.fastq.gz	NA	NA	ERR7195354.fastq.gz	NA
I16505	I16505_ERS8208652	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16505_ERS8208652_L1_R1.fastq.gz	NA	NA	ERR7195357.fastq.gz	NA
I16495	I16495_ERS8208642	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16495_ERS8208642_L1_R1.fastq.gz	NA	NA	ERR7195347.fastq.gz	NA
I16499	I16499_ERS8208646	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16499_ERS8208646_L1_R1.fastq.gz	NA	NA	ERR7195351.fastq.gz	NA
I16498	I16498_ERS8208644	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16498_ERS8208644_L1_R1.fastq.gz	NA	NA	ERR7195349.fastq.gz	NA
