Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
CGG022418	CGG022418_CGG022418	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022418_CGG022418_L1_R1.fastq.gz	NA	NA	ERR14752136.fastq.gz	NA
CGG022424	CGG022424_CGG022424	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022424_CGG022424_L1_R1.fastq.gz	NA	NA	ERR14752140.fastq.gz	NA
CGG022427	CGG022427_CGG022427	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022427_CGG022427_L1_R1.fastq.gz	NA	NA	ERR14752143.fastq.gz	NA
CGG022429	CGG022429_CGG022429	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022429_CGG022429_L1_R1.fastq.gz	NA	NA	ERR14752145.fastq.gz	NA
CGG022435	CGG022435_CGG022435	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022435_CGG022435_L1_R1.fastq.gz	NA	NA	ERR14752151.fastq.gz	NA
CGG022436	CGG022436_CGG022436	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022436_CGG022436_L1_R1.fastq.gz	NA	NA	ERR14752152.fastq.gz	NA
CGG022437	CGG022437_CGG022437	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022437_CGG022437_L1_R1.fastq.gz	NA	NA	ERR14752153.fastq.gz	NA
CGG022443	CGG022443_CGG022443	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022443_CGG022443_L1_R1.fastq.gz	NA	NA	ERR14752158.fastq.gz	NA
CGG022444	CGG022444_CGG022444	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022444_CGG022444_L1_R1.fastq.gz	NA	NA	ERR14752159.fastq.gz	NA
CGG022452	CGG022452_CGG022452	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022452_CGG022452_L1_R1.fastq.gz	NA	NA	ERR14752163.fastq.gz	NA
CGG022453	CGG022453_CGG022453	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG022453_CGG022453_L1_R1.fastq.gz	NA	NA	ERR14752164.fastq.gz	NA
CGG023272	CGG023272_CGG023272	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023272_CGG023272_L1_R1.fastq.gz	NA	NA	ERR14752177.fastq.gz	NA
CGG023274	CGG023274_CGG023274	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023274_CGG023274_L1_R1.fastq.gz	NA	NA	ERR14752178.fastq.gz	NA
CGG023627	CGG023627_CGG023627	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023627_CGG023627_L1_R1.fastq.gz	NA	NA	ERR14752181.fastq.gz	NA
CGG023628	CGG023628_CGG023628	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023628_CGG023628_L1_R1.fastq.gz	NA	NA	ERR14752182.fastq.gz	NA
CGG023637	CGG023637_CGG023637	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023637_CGG023637_L1_R1.fastq.gz	NA	NA	ERR14752186.fastq.gz	NA
CGG023644	CGG023644_CGG023644	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023644_CGG023644_L1_R1.fastq.gz	NA	NA	ERR14752187.fastq.gz	NA
CGG023653	CGG023653_CGG023653	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023653_CGG023653_L1_R1.fastq.gz	NA	NA	ERR14752191.fastq.gz	NA
CGG023655	CGG023655_CGG023655	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023655_CGG023655_L1_R1.fastq.gz	NA	NA	ERR14752192.fastq.gz	NA
CGG023658	CGG023658_CGG023658	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023658_CGG023658_L1_R1.fastq.gz	NA	NA	ERR14752195.fastq.gz	NA
CGG023659	CGG023659_CGG023659	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023659_CGG023659_L1_R1.fastq.gz	NA	NA	ERR14752196.fastq.gz	NA
CGG023662	CGG023662_CGG023662	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023662_CGG023662_L1_R1.fastq.gz	NA	NA	ERR14752198.fastq.gz	NA
CGG023664	CGG023664_CGG023664	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023664_CGG023664_L1_R1.fastq.gz	NA	NA	ERR14752200.fastq.gz	NA
CGG023668	CGG023668_CGG023668	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023668_CGG023668_L1_R1.fastq.gz	NA	NA	ERR14752202.fastq.gz	NA
CGG023671	CGG023671_CGG023671	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023671_CGG023671_L1_R1.fastq.gz	NA	NA	ERR14752204.fastq.gz	NA
CGG023676	CGG023676_CGG023676	1	4	SE	Homo sapiens (modern human)			<PATH_TO_DATA>/CGG023676_CGG023676_L1_R1.fastq.gz	NA	NA	ERR14752208.fastq.gz	NA
