Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM	R1_target_file	R2_target_file
I15529	I15529_I15529	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15529_I15529_L1_R1.fastq.gz	NA	NA	ERR12121168.fastq.gz	NA
I15530	I15530_I15530	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15530_I15530_L1_R1.fastq.gz	NA	NA	ERR12121170.fastq.gz	NA
I15531	I15531_I15531	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15531_I15531_L1_R1.fastq.gz	NA	NA	ERR12121172.fastq.gz	NA
I15532	I15532_I15532	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15532_I15532_L1_R1.fastq.gz	NA	NA	ERR12121174.fastq.gz	NA
I15533	I15533_I15533	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15533_I15533_L1_R1.fastq.gz	NA	NA	ERR12121176.fastq.gz	NA
I15534	I15534_I15534	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15534_I15534_L1_R1.fastq.gz	NA	NA	ERR12121178.fastq.gz	NA
I15535	I15535_I15535	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15535_I15535_L1_R1.fastq.gz	NA	NA	ERR12121180.fastq.gz	NA
I15536	I15536_I15536	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15536_I15536_L1_R1.fastq.gz	NA	NA	ERR12121182.fastq.gz	NA
I15537	I15537_I15537	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15537_I15537_L1_R1.fastq.gz	NA	NA	ERR12121184.fastq.gz	NA
I15538	I15538_I15538_1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15538_I15538_1240k_L1_R1.fastq.gz	NA	NA	ERR12121186.fastq.gz	NA
I15539	I15539_I15539_1240k	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15539_I15539_1240k_L1_R1.fastq.gz	NA	NA	ERR12121189.fastq.gz	NA
I15540	I15540_I15540	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15540_I15540_L1_R1.fastq.gz	NA	NA	ERR12121192.fastq.gz	NA
I15541	I15541_I15541	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15541_I15541_L1_R1.fastq.gz	NA	NA	ERR12121194.fastq.gz	NA
I15542	I15542_I15542	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15542_I15542_L1_R1.fastq.gz	NA	NA	ERR12121196.fastq.gz	NA
I15543	I15543_I15543	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15543_I15543_L1_R1.fastq.gz	NA	NA	ERR12121198.fastq.gz	NA
I15544	I15544_I15544	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15544_I15544_L1_R1.fastq.gz	NA	NA	ERR12121200.fastq.gz	NA
I15545	I15545_I15545	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15545_I15545_L1_R1.fastq.gz	NA	NA	ERR12121202.fastq.gz	NA
I15546	I15546_I15546	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15546_I15546_L1_R1.fastq.gz	NA	NA	ERR12121204.fastq.gz	NA
I15547	I15547_I15547	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15547_I15547_L1_R1.fastq.gz	NA	NA	ERR12121206.fastq.gz	NA
I15548	I15548_I15548	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15548_I15548_L1_R1.fastq.gz	NA	NA	ERR12121208.fastq.gz	NA
I15549	I15549_I15549	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15549_I15549_L1_R1.fastq.gz	NA	NA	ERR12121210.fastq.gz	NA
I15550	I15550_I15550	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15550_I15550_L1_R1.fastq.gz	NA	NA	ERR12121212.fastq.gz	NA
I15551	I15551_I15551	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15551_I15551_L1_R1.fastq.gz	NA	NA	ERR12121214.fastq.gz	NA
I15552	I15552_I15552	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15552_I15552_L1_R1.fastq.gz	NA	NA	ERR12121216.fastq.gz	NA
I15553	I15553_I15553	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15553_I15553_L1_R1.fastq.gz	NA	NA	ERR12121218.fastq.gz	NA
I15554	I15554_I15554	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15554_I15554_L1_R1.fastq.gz	NA	NA	ERR12121220.fastq.gz	NA
I15555	I15555_I15555	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15555_I15555_L1_R1.fastq.gz	NA	NA	ERR12121222.fastq.gz	NA
I24343	I24343_I24343	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I24343_I24343_L1_R1.fastq.gz	NA	NA	ERR12121225.fastq.gz	NA
I26702	I26702_I26702	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26702_I26702_L1_R1.fastq.gz	NA	NA	ERR12121227.fastq.gz	NA
I26703	I26703_I26703	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26703_I26703_L1_R1.fastq.gz	NA	NA	ERR12121229.fastq.gz	NA
I26704	I26704_I26704	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26704_I26704_L1_R1.fastq.gz	NA	NA	ERR12121231.fastq.gz	NA
I26705	I26705_I26705	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26705_I26705_L1_R1.fastq.gz	NA	NA	ERR12121233.fastq.gz	NA
I26707	I26707_I26707	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26707_I26707_L1_R1.fastq.gz	NA	NA	ERR12121235.fastq.gz	NA
I26708	I26708_I26708	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26708_I26708_L1_R1.fastq.gz	NA	NA	ERR12121237.fastq.gz	NA
I26709	I26709_I26709	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26709_I26709_L1_R1.fastq.gz	NA	NA	ERR12121239.fastq.gz	NA
I26714	I26714_I26714	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26714_I26714_L1_R1.fastq.gz	NA	NA	ERR12121241.fastq.gz	NA
I26718	I26718_I26718	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26718_I26718_L1_R1.fastq.gz	NA	NA	ERR12121243.fastq.gz	NA
I26719	I26719_I26719	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26719_I26719_L1_R1.fastq.gz	NA	NA	ERR12121245.fastq.gz	NA
I26745	I26745_I26745	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26745_I26745_L1_R1.fastq.gz	NA	NA	ERR12121247.fastq.gz	NA
I26746	I26746_I26746	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26746_I26746_L1_R1.fastq.gz	NA	NA	ERR12121249.fastq.gz	NA
I26747	I26747_I26747	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26747_I26747_L1_R1.fastq.gz	NA	NA	ERR12121251.fastq.gz	NA
I26748	I26748_I26748	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26748_I26748_L1_R1.fastq.gz	NA	NA	ERR12121253.fastq.gz	NA
I26749	I26749_I26749	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26749_I26749_L1_R1.fastq.gz	NA	NA	ERR12121255.fastq.gz	NA
I26750	I26750_I26750	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26750_I26750_L1_R1.fastq.gz	NA	NA	ERR12121257.fastq.gz	NA
I26751	I26751_I26751	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26751_I26751_L1_R1.fastq.gz	NA	NA	ERR12121259.fastq.gz	NA
I26752	I26752_I26752	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26752_I26752_L1_R1.fastq.gz	NA	NA	ERR12121261.fastq.gz	NA
I26753	I26753_I26753	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26753_I26753_L1_R1.fastq.gz	NA	NA	ERR12121263.fastq.gz	NA
I26754	I26754_I26754	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26754_I26754_L1_R1.fastq.gz	NA	NA	ERR12121265.fastq.gz	NA
I26761	I26761_I26761	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26761_I26761_L1_R1.fastq.gz	NA	NA	ERR12121267.fastq.gz	NA
I26762	I26762_I26762	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26762_I26762_L1_R1.fastq.gz	NA	NA	ERR12121269.fastq.gz	NA
I26763	I26763_I26763	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26763_I26763_L1_R1.fastq.gz	NA	NA	ERR12121271.fastq.gz	NA
I26764	I26764_I26764	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26764_I26764_L1_R1.fastq.gz	NA	NA	ERR12121273.fastq.gz	NA
I26765	I26765_I26765	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26765_I26765_L1_R1.fastq.gz	NA	NA	ERR12121275.fastq.gz	NA
I26766	I26766_I26766	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26766_I26766_L1_R1.fastq.gz	NA	NA	ERR12121277.fastq.gz	NA
I26767	I26767_I26767	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26767_I26767_L1_R1.fastq.gz	NA	NA	ERR12121279.fastq.gz	NA
I26775	I26775_I26775	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26775_I26775_L1_R1.fastq.gz	NA	NA	ERR12121281.fastq.gz	NA
I26776	I26776_I26776	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I26776_I26776_L1_R1.fastq.gz	NA	NA	ERR12121283.fastq.gz	NA
